Name,Credits
Chris Athenss,Eternal Atake
Brendan Morawski,Eternal Atake
"Kesha ""K. Lee"" Lee",Eternal Atake
Todd Cooper,Shoot For The Stars Aim For The Moon
DJ Riggins,Shoot For The Stars Aim For The Moon
Jacob Richards,Shoot For The Stars Aim For The Moon
Mike Seaberg,Shoot For The Stars Aim For The Moon
Rose Adams,Shoot For The Stars Aim For The Moon
Sage Skofield,Shoot For The Stars Aim For The Moon
Sean Solymar,Shoot For The Stars Aim For The Moon
Pierre Rogue,Shoot For The Stars Aim For The Moon
"Corey ""Cutz"" Nutile",Shoot For The Stars Aim For The Moon
Jason Goldberg,Shoot For The Stars Aim For The Moon
Jess Jackson,Shoot For The Stars Aim For The Moon
Ky Miller,Shoot For The Stars Aim For The Moon
Leslie Brathwaite,Shoot For The Stars Aim For The Moon
"Princston ""Perfect Harmany"" Terry",Shoot For The Stars Aim For The Moon
Stephen “DotCom” Farrow,Shoot For The Stars Aim For The Moon
Jaycen Joshua,Shoot For The Stars Aim For The Moon
"Ken ""Duro"" Ifill",Shoot For The Stars Aim For The Moon
Rob Kinelski,Shoot For The Stars Aim For The Moon
Barrington Hall,Shoot For The Stars Aim For The Moon
Chris Dennis,Shoot For The Stars Aim For The Moon
Dom Martin,Shoot For The Stars Aim For The Moon
Nate Alford,Shoot For The Stars Aim For The Moon
"Shawn ""Source"" Jarrett",Shoot For The Stars Aim For The Moon
Vic Wainstein,Shoot For The Stars Aim For The Moon
Yung Ave,Shoot For The Stars Aim For The Moon
"Derek ""Mixedbyali"" Ali",Shoot For The Stars Aim For The Moon
Randy Lanphear,Shoot For The Stars Aim For The Moon
Thomas “Tillie” Mann,Shoot For The Stars Aim For The Moon
Chris Galland,Legends Never Die
Jeremie Inhaber,Legends Never Die
Robin Florent,Legends Never Die
BJ Mekkinosson,Legends Never Die
Bibby,Legends Never Die
Clint Gibbs,Legends Never Die
Kalani Thompson,Legends Never Die
"Lloyd ""2Fly"" Mizell",Legends Never Die
Lloyd 2Fly Mizell,Legends Never Die
Max Lord,Legends Never Die
Tyler Sheppard,Legends Never Die
Dale Becker,Legends Never Die
Mark Santangelo,Legends Never Die
Tatsuya Sato,Legends Never Die
Ben Lidsky,Legends Never Die
Manny Marroquin,Legends Never Die
Rafael “Come2Brazil” Fadul,Legends Never Die
Serban Ghenea,Legends Never Die
Polo G,Legends Never Die
Ebonie Smith,Hamilton (Original Broadway Cast Recording)
"Ron Robinson, Jr.",Hamilton (Original Broadway Cast Recording)
Thom Beemer,Hamilton (Original Broadway Cast Recording)
Tyler Hartman,Hamilton (Original Broadway Cast Recording)
Derik Lee,Hamilton (Original Broadway Cast Recording)
Tom Coyne,Hamilton (Original Broadway Cast Recording)
Tim Latham,Hamilton (Original Broadway Cast Recording)
"Curtis ""Sircut"" Bye",BLAME IT ON BABY
"Cyrus ""NOIS"" Taghipour",BLAME IT ON BABY
"Shawn ""Source"" Jarrett",BLAME IT ON BABY
Glenn A Tabor III,BLAME IT ON BABY
Nicolas de Porcel,BLAME IT ON BABY
Chris West,BLAME IT ON BABY
"Christopher ""Coach Brodie"" West",BLAME IT ON BABY
"Derek ""MixedByAli"" Ali",BLAME IT ON BABY
Alex Estevez,BLAME IT ON BABY
Armin Lopez,BLAME IT ON BABY
Chris Dennis,BLAME IT ON BABY
DJ K.i.D,BLAME IT ON BABY
DJ Kid,BLAME IT ON BABY
Derwin Knox,BLAME IT ON BABY
Ghost-Kid Da Produca,BLAME IT ON BABY
Khris James,BLAME IT ON BABY
Liz Robson,BLAME IT ON BABY
"Ricky Jason ""Rick Hertz""",BLAME IT ON BABY
Thomas Cullison,BLAME IT ON BABY
Joe Bozzi,Goodbye & Good Riddance
Blake Harden,Goodbye & Good Riddance
Don Rob,Goodbye & Good Riddance
James Kang,Goodbye & Good Riddance
Lil Bibby,Goodbye & Good Riddance
David Nakaji,beerbongs & bentleys
Joe Fitz,beerbongs & bentleys
Manny Maroquin,beerbongs & bentleys
Manny Marroquin,beerbongs & bentleys
Mark 'Spike' Stent,beerbongs & bentleys
Spike Stent,beerbongs & bentleys
Ethan Stevens,beerbongs & bentleys
Jonathan Whitfield,beerbongs & bentleys
Lorenzo Cardona,beerbongs & bentleys
Louis Bell,beerbongs & bentleys
Roark Bailey,beerbongs & bentleys
